"","ordinal","species","in6","in5","in4","in3","in2","in1","total","year","site","period","sjy","dd","dd_sum","cdd_sum","cdd_sumfall","DI","per","elev","siteyear","Tmean","cdd_seas","Cdd_siteave","Cdd_july_siteave","species.lab","spsiteyear","doy_adult","gdd_adult"
"74",163,"Aeropedellus clavatus",1,0,2,0,0,0,3,"2008","A1","resurvey","A1_163_2008",0.81369040787265,0.81369040787265,105.761011714046,105.761011714046,4.66666666666667,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,"Aeropedellus clavatus (SW)","A12008Aeropedellus clavatus",187,170.481815185426
"75",168,"Aeropedellus clavatus",0,0,2,1,0,0,3,"2008","A1","resurvey","A1_168_2008",2.1501653091249,2.1501653091249,124.674092246477,124.674092246477,3.66666666666667,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,"Aeropedellus clavatus (SW)","A12008Aeropedellus clavatus",187,170.481815185426
"76",175,"Aeropedellus clavatus",6,0,1,0,0,0,7,"2008","A1","resurvey","A1_175_2008",6.05,6.05,164.554708966131,164.554708966131,5.71428571428571,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,"Aeropedellus clavatus (SW)","A12008Aeropedellus clavatus",187,170.481815185426
"77",183,"Aeropedellus clavatus",10,0,0,0,0,0,10,"2008","A1","resurvey","A1_183_2008",9.48,9.48,219.947148208321,219.947148208321,6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,"Aeropedellus clavatus (SW)","A12008Aeropedellus clavatus",187,170.481815185426
"78",190,"Aeropedellus clavatus",8,0,0,0,0,0,8,"2008","A1","resurvey","A1_190_2008",4.70564066437368,4.70564066437368,269.657900629524,269.657900629524,6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,"Aeropedellus clavatus (SW)","A12008Aeropedellus clavatus",187,170.481815185426
"79",197,"Aeropedellus clavatus",3,0,0,0,0,0,3,"2008","A1","resurvey","A1_197_2008",11.77,11.77,318.769983266797,318.769983266797,6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,"Aeropedellus clavatus (SW)","A12008Aeropedellus clavatus",187,170.481815185426
"91",139,"Aeropedellus clavatus",0,0,0,3,1,1,5,"2009","A1","resurvey","A1_139_2009",5.13870453959374,5.13870453959374,66.3326743730736,66.3326743730736,2.4,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,"Aeropedellus clavatus (SW)","A12009Aeropedellus clavatus",194,246.332674373074
"92",148,"Aeropedellus clavatus",0,1,2,0,2,2,7,"2009","A1","resurvey","A1_148_2009",2.70032053973538,2.70032053973538,82.9168989708945,82.9168989708945,2.71428571428571,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,"Aeropedellus clavatus (SW)","A12009Aeropedellus clavatus",194,246.332674373074
"93",156,"Aeropedellus clavatus",0,0,3,1,3,0,7,"2009","A1","resurvey","A1_156_2009",3.01079732413011,3.01079732413011,101.494228861402,101.494228861402,3,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,"Aeropedellus clavatus (SW)","A12009Aeropedellus clavatus",194,246.332674373074
"94",163,"Aeropedellus clavatus",3,0,6,4,5,0,18,"2009","A1","resurvey","A1_163_2009",1.69882687983141,1.69882687983141,114.63781564,114.63781564,3.55555555555556,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,"Aeropedellus clavatus (SW)","A12009Aeropedellus clavatus",194,246.332674373074
"95",174,"Aeropedellus clavatus",1,0,4,2,0,0,7,"2009","A1","resurvey","A1_174_2009",5.16797674660923,5.16797674660923,153.566113496283,153.566113496283,4,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,"Aeropedellus clavatus (SW)","A12009Aeropedellus clavatus",194,246.332674373074
"98",195,"Aeropedellus clavatus",9,0,0,0,0,0,9,"2009","A1","resurvey","A1_195_2009",8.2532953584919,8.2532953584919,281.797467632803,281.797467632803,6,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,"Aeropedellus clavatus (SW)","A12009Aeropedellus clavatus",194,246.332674373074
"99",203,"Aeropedellus clavatus",3,0,0,0,0,0,3,"2009","A1","resurvey","A1_203_2009",5.69408341905542,5.69408341905542,331.445235959354,331.445235959354,6,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,"Aeropedellus clavatus (SW)","A12009Aeropedellus clavatus",194,246.332674373074
"100",212,"Aeropedellus clavatus",4,0,0,0,0,0,4,"2009","A1","resurvey","A1_212_2009",3.29999975149515,3.29999975149515,367.370542260995,367.370542260995,6,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,"Aeropedellus clavatus (SW)","A12009Aeropedellus clavatus",194,246.332674373074
"106",142,"Aeropedellus clavatus",0,0,0,0,2,4,6,"2010","A1","resurvey","A1_142_2010",4.52671393995702,4.52671393995702,34.8709947419787,34.8709947419787,1.33333333333333,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"107",149,"Aeropedellus clavatus",0,0,0,3,7,7,17,"2010","A1","resurvey","A1_149_2010",4.86179973417794,4.86179973417794,57.9821197566483,57.9821197566483,1.76470588235294,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"108",154,"Aeropedellus clavatus",0,0,3,3,4,4,14,"2010","A1","resurvey","A1_154_2010",4.04004137117501,4.04004137117501,71.8508211021709,71.8508211021709,2.35714285714286,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"109",156,"Aeropedellus clavatus",0,0,0,2,3,2,7,"2010","A1","resurvey","A1_156_2010",6.10545672956185,6.10545672956185,83.9855109964264,83.9855109964264,2,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"110",160,"Aeropedellus clavatus",0,2,1,4,1,0,8,"2010","A1","resurvey","A1_160_2010",5.20495171351702,5.20495171351702,109.056701558965,109.056701558965,3.5,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"111",168,"Aeropedellus clavatus",4,3,5,1,0,0,13,"2010","A1","resurvey","A1_168_2010",4.69660547002866,4.69660547002866,124.953208102286,124.953208102286,4.76923076923077,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"112",176,"Aeropedellus clavatus",8,1,9,0,0,0,18,"2010","A1","resurvey","A1_176_2010",6.56648826496346,6.56648826496346,168.015116400757,168.015116400757,4.94444444444444,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"113",183,"Aeropedellus clavatus",7,0,2,1,0,0,10,"2010","A1","resurvey","A1_183_2010",5.27947201976033,5.27947201976033,213.684508245887,213.684508245887,5.3,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"114",190,"Aeropedellus clavatus",18,0,0,0,0,0,18,"2010","A1","resurvey","A1_190_2010",3.53252985840927,3.53252985840927,241.560863774327,241.560863774327,6,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"115",201,"Aeropedellus clavatus",9,0,1,0,0,0,10,"2010","A1","resurvey","A1_201_2010",8.52843609834815,8.52843609834815,325.561307462738,325.561307462738,5.8,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"116",209,"Aeropedellus clavatus",6,0,0,0,0,0,6,"2010","A1","resurvey","A1_209_2010",8.70063643757375,8.70063643757375,389.644234579265,389.644234579265,6,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"117",217,"Aeropedellus clavatus",12,0,0,0,0,0,12,"2010","A1","resurvey","A1_217_2010",6.4800661600673,6.4800661600673,444.715286339875,444.715286339875,6,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"118",226,"Aeropedellus clavatus",8,0,0,0,0,0,8,"2010","A1","resurvey","A1_226_2010",5.39109938199955,5.39109938199955,507.872085620736,507.872085620736,6,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,"Aeropedellus clavatus (SW)","A12010Aeropedellus clavatus",187,214.870994741979
"123",140,"Aeropedellus clavatus",0,0,0,0,0,4,4,"2011","A1","resurvey","A1_140_2011",0,0,33.8124648022774,33.8124648022774,1,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"124",146,"Aeropedellus clavatus",0,0,1,0,3,5,9,"2011","A1","resurvey","A1_146_2011",1.5549933626818,1.5549933626818,40.7857505420427,40.7857505420427,1.66666666666667,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"125",154,"Aeropedellus clavatus",0,0,1,4,3,2,10,"2011","A1","resurvey","A1_154_2011",4.06576524091713,4.06576524091713,61.3233096911507,61.3233096911507,2.4,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"126",160,"Aeropedellus clavatus",0,2,4,6,7,0,19,"2011","A1","resurvey","A1_160_2011",3.04404226201179,3.04404226201179,88.1418342074078,88.1418342074078,3.05263157894737,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"127",167,"Aeropedellus clavatus",0,2,1,1,1,0,5,"2011","A1","resurvey","A1_167_2011",5.90645718172681,5.90645718172681,118.32104675619,118.32104675619,3.8,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"128",174,"Aeropedellus clavatus",7,2,1,1,0,0,11,"2011","A1","resurvey","A1_174_2011",5.21562307590115,5.21562307590115,144.384001643826,144.384001643826,5.36363636363636,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"129",181,"Aeropedellus clavatus",10,0,0,0,0,0,10,"2011","A1","resurvey","A1_181_2011",8.19676433,8.19676433,193.127370728125,193.127370728125,6,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"130",189,"Aeropedellus clavatus",13,0,0,0,0,0,13,"2011","A1","resurvey","A1_189_2011",7.116182885,7.116182885,249.654726046105,249.654726046105,6,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"131",195,"Aeropedellus clavatus",27,0,0,0,0,0,27,"2011","A1","resurvey","A1_195_2011",6.615199245,6.615199245,285.963676223008,285.963676223008,6,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"132",203,"Aeropedellus clavatus",5,0,0,0,0,0,5,"2011","A1","resurvey","A1_203_2011",6.41214977769139,6.41214977769139,345.335030182693,345.335030182693,6,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"133",207,"Aeropedellus clavatus",3,0,0,0,0,0,3,"2011","A1","resurvey","A1_207_2011",8.965495525,8.965495525,379.119756052951,379.119756052951,6,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"134",215,"Aeropedellus clavatus",7,0,0,0,0,0,7,"2011","A1","resurvey","A1_215_2011",7.747286255,7.747286255,438.89652564448,438.89652564448,6,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"135",225,"Aeropedellus clavatus",3,0,0,0,0,0,3,"2011","A1","resurvey","A1_225_2011",6.00412624209941,6.00412624209941,513.301539700533,513.301539700533,6,2,"2195","A12011",12.6032280920245,670.055077593507,399.803176665022,133.44291658597,"Aeropedellus clavatus (SW)","A12011Aeropedellus clavatus",175,173.812464802277
"223",107,"Arphia conspersa",7,13,11,5,1,0,37,"2007","A1","resurvey","A1_107_2007",0,0,21.757445521392,21.757445521392,4.54054054054054,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,NA,"A12007Arphia conspersa",127,61.757445521392
"224",143,"Arphia conspersa",9,0,0,0,0,0,9,"2007","A1","resurvey","A1_143_2007",2.95844734621394,2.95844734621394,96.6657136808156,96.6657136808156,6,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,NA,"A12007Arphia conspersa",127,61.757445521392
"226",156,"Arphia conspersa",20,0,0,0,0,0,20,"2007","A1","resurvey","A1_156_2007",0.27495036004336,0.27495036004336,127.543712450227,127.543712450227,6,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,NA,"A12007Arphia conspersa",127,61.757445521392
"227",161,"Arphia conspersa",4,0,0,0,0,0,4,"2007","A1","resurvey","A1_161_2007",1.50827595605721,1.50827595605721,148.527073589344,148.527073589344,6,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,NA,"A12007Arphia conspersa",127,61.757445521392
"228",168,"Arphia conspersa",5,0,0,0,0,0,5,"2007","A1","resurvey","A1_168_2007",7.15,7.15,192.860642148565,192.860642148565,6,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,NA,"A12007Arphia conspersa",127,61.757445521392
"231",189,"Arphia conspersa",4,0,0,0,0,0,4,"2007","A1","resurvey","A1_189_2007",6.85,6.85,381.089600352803,381.089600352803,6,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,NA,"A12007Arphia conspersa",127,61.757445521392
"236",229,"Arphia conspersa",0,0,0,1,2,0,3,"2007","A1","resurvey","A1_229_2007",8.55,8.55,754.916526837761,754.916526837761,2.33333333333333,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,NA,"A12007Arphia conspersa",127,61.757445521392
"237",249,"Arphia conspersa",0,0,0,0,3,4,7,"2007","A1","resurvey","A1_249_2007",6.07643868788807,0,871.248337214546,911.976543349793,1.42857142857143,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,NA,"A12007Arphia conspersa",127,61.757445521392
"238",273,"Arphia conspersa",0,0,2,2,1,1,6,"2007","A1","resurvey","A1_273_2007",4.58750258458641,0,871.248337214546,997.787634929611,2.83333333333333,2,"2195","A12007",13.7919293478261,871.248337214546,482.511330481894,171.845339464654,NA,"A12007Arphia conspersa",127,61.757445521392
"239",104,"Arphia conspersa",1,4,0,0,0,0,5,"2008","A1","resurvey","A1_104_2008",0,0,3.67233885496306,3.67233885496306,5.2,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"240",113,"Arphia conspersa",3,1,0,0,0,0,4,"2008","A1","resurvey","A1_113_2008",0.232443112343561,0.232443112343561,17.5495153666952,17.5495153666952,5.75,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"241",122,"Arphia conspersa",8,2,0,0,0,0,10,"2008","A1","resurvey","A1_122_2008",0,0,30.4818151854257,30.4818151854257,5.8,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"242",129,"Arphia conspersa",42,2,0,0,0,0,44,"2008","A1","resurvey","A1_129_2008",0.926608360350984,0.926608360350984,37.5178863328664,37.5178863328664,5.95454545454545,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"243",139,"Arphia conspersa",17,1,0,0,0,0,18,"2008","A1","resurvey","A1_139_2008",3.63596945380167,3.63596945380167,52.3321631866221,52.3321631866221,5.94444444444444,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"244",149,"Arphia conspersa",23,0,0,0,0,0,23,"2008","A1","resurvey","A1_149_2008",1.22753501329511,1.22753501329511,70.7252051528422,70.7252051528422,6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"245",157,"Arphia conspersa",13,0,0,0,0,0,13,"2008","A1","resurvey","A1_157_2008",0,0,89.1416195863978,89.1416195863978,6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"246",163,"Arphia conspersa",6,0,0,0,0,0,6,"2008","A1","resurvey","A1_163_2008",0.81369040787265,0.81369040787265,105.761011714046,105.761011714046,6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"247",168,"Arphia conspersa",9,0,0,0,0,0,9,"2008","A1","resurvey","A1_168_2008",2.1501653091249,2.1501653091249,124.674092246477,124.674092246477,6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"248",175,"Arphia conspersa",3,0,0,0,0,0,3,"2008","A1","resurvey","A1_175_2008",6.05,6.05,164.554708966131,164.554708966131,6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"249",183,"Arphia conspersa",3,0,0,0,0,0,3,"2008","A1","resurvey","A1_183_2008",9.48,9.48,219.947148208321,219.947148208321,6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"250",190,"Arphia conspersa",6,0,0,0,0,0,6,"2008","A1","resurvey","A1_190_2008",4.70564066437368,4.70564066437368,269.657900629524,269.657900629524,6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"252",206,"Arphia conspersa",6,0,0,0,0,0,6,"2008","A1","resurvey","A1_206_2008",10.79,10.79,406.814883946002,406.814883946002,6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"256",232,"Arphia conspersa",2,0,0,0,0,3,5,"2008","A1","resurvey","A1_232_2008",6.28215503892451,6.28215503892451,611.324077277404,611.324077277404,3,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"257",241,"Arphia conspersa",0,0,0,0,3,2,5,"2008","A1","resurvey","A1_241_2008",4.74118366763365,4.74118366763365,682.184486129639,682.184486129639,1.6,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"259",262,"Arphia conspersa",0,0,0,0,3,0,3,"2008","A1","resurvey","A1_262_2008",3.99895469864907,0,698.34084887619,751.10526069404,2,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"260",288,"Arphia conspersa",0,0,0,3,2,3,8,"2008","A1","resurvey","A1_288_2008",0,0,698.34084887619,821.270829847319,2,2,"2195","A12008",11.6611956521739,698.34084887619,443.326397083935,184.048351471126,NA,"A12008Arphia conspersa",109,13.6723388549631
"261",125,"Arphia conspersa",6,2,0,0,0,0,8,"2009","A1","resurvey","A1_125_2009",0.966327167810622,0.966327167810622,29.2244125132923,29.2244125132923,5.75,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,NA,"A12009Arphia conspersa",125,29.2244125132923
"262",131,"Arphia conspersa",19,0,0,0,0,0,19,"2009","A1","resurvey","A1_131_2009",2.2687564601215,2.2687564601215,40.7652868181298,40.7652868181298,6,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,NA,"A12009Arphia conspersa",125,29.2244125132923
"263",139,"Arphia conspersa",19,0,0,0,0,0,19,"2009","A1","resurvey","A1_139_2009",5.13870453959374,5.13870453959374,66.3326743730736,66.3326743730736,6,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,NA,"A12009Arphia conspersa",125,29.2244125132923
"264",148,"Arphia conspersa",20,0,0,0,0,0,20,"2009","A1","resurvey","A1_148_2009",2.70032053973538,2.70032053973538,82.9168989708945,82.9168989708945,6,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,NA,"A12009Arphia conspersa",125,29.2244125132923
"265",156,"Arphia conspersa",9,0,0,0,0,0,9,"2009","A1","resurvey","A1_156_2009",3.01079732413011,3.01079732413011,101.494228861402,101.494228861402,6,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,NA,"A12009Arphia conspersa",125,29.2244125132923
"266",163,"Arphia conspersa",6,0,0,0,0,0,6,"2009","A1","resurvey","A1_163_2009",1.69882687983141,1.69882687983141,114.63781564,114.63781564,6,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,NA,"A12009Arphia conspersa",125,29.2244125132923
"267",174,"Arphia conspersa",3,0,0,0,0,0,3,"2009","A1","resurvey","A1_174_2009",5.16797674660923,5.16797674660923,153.566113496283,153.566113496283,6,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,NA,"A12009Arphia conspersa",125,29.2244125132923
"273",219,"Arphia conspersa",1,0,0,0,0,3,4,"2009","A1","resurvey","A1_219_2009",6.63501812010103,6.63501812010103,416.245664261552,416.245664261552,2.25,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,NA,"A12009Arphia conspersa",125,29.2244125132923
"274",227,"Arphia conspersa",0,0,0,0,2,3,5,"2009","A1","resurvey","A1_227_2009",4.42701561505287,4.42701561505287,461.008253426403,461.008253426403,1.4,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,NA,"A12009Arphia conspersa",125,29.2244125132923
"275",237,"Arphia conspersa",0,0,0,0,5,3,8,"2009","A1","resurvey","A1_237_2009",3.32866674000058,3.32866674000058,516.633514239149,516.633514239149,1.625,2,"2195","A12009",11.7639892665871,546.664954599874,333.80029008503,119.514388106097,NA,"A12009Arphia conspersa",125,29.2244125132923
"276",127,"Arphia conspersa",1,8,3,1,0,0,13,"2010","A1","resurvey","A1_127_2010",0,0,19.331914240344,19.331914240344,4.69230769230769,2,"2195","A12010",11.8872171893009,612.275385572065,368.393096636885,143.691857502535,NA,"A12010Arphia conspersa",137,29.331914240344
